word,value,year
hand,113,2008
hear,44,2008
heart,127,2008
israel,65,2008
jeremiah,0,2008
jerusalem,17,2008
jesus,0,2008
judah,8,2008
king,57,2008
kingdom,11,2008
know,46,2008
lamb,0,2008
land,66,2008
let,157,2008
life,74,2008
like,168,2008
lord,786,2008
love,153,2008
male,0,2008
man,77,2008
men,95,2008
month,0,2008
moses,8,2008
mother,6,2008
mouth,52,2008
offering,13,2008
old,9,2008
people,114,2008
pharaoh,2,2008
praise,216,2008
priest,4,2008
prophet,2,2008
reign,4,2008
sacrifice,16,2008
said,27,2008
saw,7,2008
say,55,2008
says,4,2008
seen,11,2008
sent,11,2008
servant,44,2008
sin,34,2008
solomon,0,2008
son,28,2008
sovereign,7,2008
speak,29,2008
spirit,20,2008
taken,7,2008
tell,18,2008
thing,27,2008
tribe,9,2008
wa,68,2008
went,9,2008
wife,2,2008
word,66,2008
year,13,2008
aaron,0,2009
almighty,0,2009
altar,0,2009
babylon,0,2009
burnt,0,2009
came,2,2009
christ,0,2009
city,15,2009
come,38,2009
commanded,0,2009
daughter,0,2009
daughters,1,2009
david,1,2009
day,15,2009
declares,0,2009
descendant,0,2009
doe,22,2009
father,16,2009
given,4,2009
goat,1,2009
god,7,2009
grain,2,2009
ha,45,2009
hand,28,2009
hear,1,2009
heart,75,2009
israel,1,2009
jeremiah,0,2009
jerusalem,0,2009
jesus,0,2009
judah,1,2009
king,20,2009
kingdom,0,2009
know,11,2009
lamb,1,2009
land,8,2009
let,22,2009
life,50,2009
like,67,2009
lord,87,2009
love,36,2009
male,0,2009
man,182,2009
men,31,2009
month,0,2009
moses,0,2009
mother,11,2009
mouth,35,2009
offering,1,2009
old,4,2009
people,8,2009
pharaoh,0,2009
praise,5,2009
priest,0,2009
prophet,0,2009
reign,1,2009
sacrifice,3,2009
said,3,2009
saw,2,2009
say,23,2009
says,6,2009
seen,1,2009
sent,3,2009
servant,12,2009
sin,13,2009
solomon,3,2009
son,45,2009
sovereign,0,2009
speak,9,2009
spirit,11,2009
taken,1,2009
tell,2,2009
thing,10,2009
tribe,0,2009
wa,12,2009
went,1,2009
wife,18,2009
word,27,2009
year,5,2009
aaron,0,2010
almighty,0,2010
altar,0,2010
babylon,0,2010
burnt,0,2010
came,4,2010
christ,0,2010
city,5,2010
come,20,2010
commanded,0,2010
daughter,0,2010
daughters,0,2010
david,1,2010
day,20,2010
declares,0,2010
descendant,0,2010
doe,16,2010
father,0,2010
given,3,2010
goat,0,2010
god,41,2010
grain,0,2010
ha,36,2010
hand,9,2010
hear,1,2010
heart,29,2010
israel,1,2010
jeremiah,0,2010
jerusalem,5,2010
jesus,0,2010
judah,0,2010
king,9,2010
kingdom,1,2010
know,23,2010
lamb,0,2010
land,4,2010
let,7,2010
life,14,2010
like,12,2010
lord,1,2010
love,6,2010
male,1,2010
man,56,2010
men,19,2010
month,0,2010
moses,0,2010
mother,0,2010
mouth,4,2010
offering,0,2010
old,3,2010
people,5,2010
pharaoh,0,2010
praise,1,2010
priest,0,2010
prophet,0,2010
reign,0,2010
sacrifice,2,2010
said,4,2010
saw,13,2010
say,14,2010
says,0,2010
seen,9,2010
sent,0,2010
servant,2,2010
sin,1,2010
solomon,0,2010
son,4,2010
sovereign,0,2010
speak,1,2010
spirit,4,2010
taken,3,2010
tell,3,2010
thing,8,2010
tribe,0,2010
wa,22,2010
went,0,2010
wife,1,2010
word,10,2010
year,3,2010
aaron,0,2011
almighty,0,2011
altar,0,2011
babylon,0,2011
burnt,0,2011
came,0,2011
christ,0,2011
city,3,2011
come,16,2011
commanded,0,2011
daughter,10,2011
daughters,0,2011
david,1,2011
day,5,2011
declares,0,2011
descendant,0,2011
doe,2,2011
father,0,2011
given,0,2011
goat,3,2011
god,0,2011
grain,0,2011
ha,7,2011
hand,2,2011
hear,2,2011
heart,11,2011
israel,1,2011
jeremiah,0,2011
jerusalem,8,2011
jesus,0,2011
judah,0,2011
king,5,2011
kingdom,0,2011
know,1,2011
lamb,0,2011
land,1,2011
let,10,2011
life,0,2011
like,48,2011
lord,0,2011
love,17,2011
male,0,2011
man,0,2011
men,1,2011
month,0,2011
moses,0,2011
mother,3,2011
mouth,4,2011
offering,0,2011
old,1,2011
people,1,2011
pharaoh,1,2011
praise,1,2011
priest,0,2011
prophet,0,2011
reign,0,2011
sacrifice,0,2011
said,2,2011
saw,1,2011
say,0,2011
says,0,2011
seen,1,2011
sent,0,2011
servant,0,2011
sin,0,2011
solomon,5,2011
son,1,2011
sovereign,0,2011
speak,0,2011
spirit,0,2011
taken,2,2011
tell,3,2011
thing,0,2011
tribe,0,2011
wa,7,2011
went,1,2011
wife,0,2011
word,0,2011
